央视频道,#genre#
CCTV4K 超高清,CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV1 综合,http://39.134.32.102:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT
CCTV2 财经,http://39.134.32.103:6610/270000001111/1110000302/index.m3u8?IASHttpSessionId=OTT
CCTV3 综艺,http://39.134.32.102:6610/270000001111/1110000303/index.m3u8?IASHttpSessionId=OTT
CCTV3 综艺高清,http://39.134.32.102:6610/270000001111/1110000317/index.m3u8?IASHttpSessionId=OTT
CCTV4 中文国际,http://111.20.40.164/PLTV/88888893/224/3221226191/index.m3u8
CCTV5 体育,http://39.134.32.102:6610/270000001111/1110000305/index.m3u8?IASHttpSessionId=OTT
CCTV5 体育高清,http://39.134.32.102:6610/270000001111/1110000321/index.m3u8?IASHttpSessionId=OTT
CCTV5+ 体育赛事,http://39.134.32.102:6610/270000001111/1110000306/index.m3u8?IASHttpSessionId=OTT
CCTV6 电影,http://39.134.32.102:6610/270000001111/1110000307/index.m3u8?IASHttpSessionId=OTT
CCTV7 国防军事,http://cyz32.livehbindex.hbcatv.cn/live/500000204daa45af99b5800a528fac21.m3u8?bitrate=2300&pt=5
CCTV8 电视剧,http://39.134.32.102:6610/270000001111/1110000309/index.m3u8?IASHttpSessionId=OTT
CCTV9 纪录,http://221.213.43.82:8888/newlive/live/hls/11/live.m3u8
CCTV10 科教,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV11 戏曲,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226714/1.m3u8
CCTV12 社会与法,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226723/1.m3u8
CCTV13 新闻,http://39.134.32.102:6610/270000001111/1110000314/index.m3u8?IASHttpSessionId=OTT
CCTV14 少儿,http://221.213.43.82:8888/newlive/live/hls/16/live.m3u8
CCTV15 音乐,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV16 奥林匹克,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
CCTV17 农业农村,http://cyz32.livehbindex.hbcatv.cn/live/500000208b8d41c4b436ef32428c229d.m3u8?bitrate=2300&pt=5
CCTV18 电影高清,http://39.134.32.102:6610/270000001111/1110000319/index.m3u8?IASHttpSessionId=OTT
CCTV19 电视剧高清,http://39.134.32.102:6610/270000001111/1110000320/index.m3u8?IASHttpSessionId=OTT
CCTV移动,http://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/649e19038fa74514ab3f00febbcd6de0/1200.m3u8
甘肃,#genre#
甘肃卫视,http://39.134.32.102:6610/270000001111/1110000322/index.m3u8?IASHttpSessionId=OTT
文化影视,http://39.134.32.102:6610/270000001111/1110000323/index.m3u8?IASHttpSessionId=OTT
都市频道,http://39.134.32.102:6610/270000001111/1110000324/index.m3u8?IASHttpSessionId=OTT
公共应急,http://39.134.32.102:6610/270000001111/1110000325/index.m3u8?IASHttpSessionId=OTT
经济频道,http://39.134.32.102:6610/270000001111/1110000326/index.m3u8?IASHttpSessionId=OTT
少儿频道,http://39.134.32.102:6610/270000001111/1110000327/index.m3u8?IASHttpSessionId=OTT
新闻综合,http://39.134.32.102:6610/270000001111/1110000328/index.m3u8?IASHttpSessionId=OTT
生活经济,http://39.134.32.102:6610/270000001111/1110000329/index.m3u8?IASHttpSessionId=OTT
文旅频道,http://39.134.32.102:6610/270000001111/1110000330/index.m3u8?IASHttpSessionId=OTT
未知一,http://39.134.32.102:6610/270000001111/1110000335/index.m3u8?IASHttpSessionId=OTT
未知二,http://39.134.32.102:6610/270000001111/1110000334/index.m3u8?IASHttpSessionId=OTT
未知三,http://39.134.32.102:6610/270000001111/1110000336/index.m3u8?IASHttpSessionId=OTT
华数电视剧,http://39.134.32.102:6610/270000001111/1110000333/index.m3u8?IASHttpSessionId=OTT
1,http://39.134.32.102:6610/270000001111/1110000201/index.m3u8?IASHttpSessionId=OTT
2,http://39.134.32.102:6610/270000001111/1110000202/index.m3u8?IASHttpSessionId=OTT
4,http://39.134.32.102:6610/270000001111/1110000203/index.m3u8?IASHttpSessionId=OTT
5,http://39.134.32.102:6610/270000001111/1110000204/index.m3u8?IASHttpSessionId=OTT
虎牙01,#genre#
星爷,https://ygbh--xingkongbujian.repl.co/huya/11342412
英叔,https://ygbh--xingkongbujian.repl.co/huya/11342421
发哥,https://ygbh--xingkongbujian.repl.co/huya/11342387
成龙,https://ygbh--xingkongbujian.repl.co/huya/11342386
王晶,https://ygbh--xingkongbujian.repl.co/huya/11602058
沈腾,https://ygbh--xingkongbujian.repl.co/huya/11601968
黄渤,https://ygbh--xingkongbujian.repl.co/huya/11352876
强森,https://ygbh--xingkongbujian.repl.co/huya/21059581
漫威,https://ygbh--xingkongbujian.repl.co/huya/11602034
宇宙,https://ygbh--xingkongbujian.repl.co/huya/11342428
怪兽,https://ygbh--xingkongbujian.repl.co/huya/21059577
武侠,https://ygbh--xingkongbujian.repl.co/huya/11342427
警匪,https://ygbh--xingkongbujian.repl.co/huya/11352886
罪犯,https://ygbh--xingkongbujian.repl.co/huya/11352962
枪战,https://ygbh--xingkongbujian.repl.co/huya/21059579
海盗,https://ygbh--xingkongbujian.repl.co/huya/21059595
赛车,https://ygbh--xingkongbujian.repl.co/huya/11279247
推荐,https://ygbh--xingkongbujian.repl.co/huya/11602041
救援,https://ygbh--xingkongbujian.repl.co/huya/21059594
热血,https://ygbh--xingkongbujian.repl.co/huya/11352934
盗墓,https://ygbh--xingkongbujian.repl.co/huya/21059552
贺岁,https://ygbh--xingkongbujian.repl.co/huya/11601971
玄幻,https://ygbh--xingkongbujian.repl.co/huya/11342414
谍战,https://ygbh--xingkongbujian.repl.co/huya/21059585
战争,https://ygbh--xingkongbujian.repl.co/huya/21059592
喜剧,https://ygbh--xingkongbujian.repl.co/huya/11352877
港片,https://ygbh--xingkongbujian.repl.co/huya/11602043
国产,https://ygbh--xingkongbujian.repl.co/huya/11352973
周星星,https://ygbh--xingkongbujian.repl.co/huya/11336587
李连杰,https://ygbh--xingkongbujian.repl.co/huya/11342390
洪金宝,https://ygbh--xingkongbujian.repl.co/huya/11279251
梁家辉,https://ygbh--xingkongbujian.repl.co/huya/11342429
许冠英,https://ygbh--xingkongbujian.repl.co/huya/11601972
刘德华,https://ygbh--xingkongbujian.repl.co/huya/11342424
斯坦森,https://ygbh--xingkongbujian.repl.co/huya/21059588
小鬼头,https://ygbh--xingkongbujian.repl.co/huya/11352963
八点档,https://ygbh--xingkongbujian.repl.co/huya/880261
蜘蛛侠,https://ygbh--xingkongbujian.repl.co/huya/21059599
贺岁片,https://ygbh--xingkongbujian.repl.co/huya/11601986
功夫片,https://ygbh--xingkongbujian.repl.co/huya/11352941
黑帮片,https://ygbh--xingkongbujian.repl.co/huya/11336719
丧尸片,https://ygbh--xingkongbujian.repl.co/huya/21059578
灾难片,https://ygbh--xingkongbujian.repl.co/huya/11602075
谍战片,https://ygbh--xingkongbujian.repl.co/huya/21059587
战争片,https://ygbh--xingkongbujian.repl.co/huya/21059574
犯罪片,https://ygbh--xingkongbujian.repl.co/huya/11352974
古装片,https://ygbh--xingkongbujian.repl.co/huya/11336590
高分动作,https://ygbh--xingkongbujian.repl.co/huya/11352884
